layer,metric,attack,rho,pval,n,family,q_per_attack,q_per_family,q_global,sig_per_attack,sig_per_family,sig_global
10,NormAnonDiff_S_alpha_2,MIA_Ref,-0.3667,0.3317,9,entropy,0.9785,0.9794,0.8176,,,
10,NormAnonDiff_S_alpha_2,MIA_Hidden,0.2667,0.4879,9,entropy,0.9958,0.9847,0.9318,,,
10,NormAnonDiff_S_alpha_2,SPV_MIA,0.6833,0.0424,9,entropy,0.0959,0.0842,0.2712,,,
10,NormAnonDiff_MeanCos,Steering,0.0055,0.9858,13,entropy,0.9877,0.9858,0.9974,,,
10,NormAnonDiff_MeanCos,ICL,0.7930,0.0012,13,entropy,0.0112,0.0269,0.0464,*,*,*
10,NormAnonDiff_MeanCos,GCG,0.4306,0.1418,13,entropy,0.4027,0.3344,0.5261,,,
10,NormAnonDiff_MeanCos,MIA,-0.1813,0.5533,13,entropy,0.9988,0.7939,0.9522,,,
10,NormAnonDiff_MeanCos,MIA_MinK,0.0000,1.0000,9,entropy,1.0000,1.0000,1.0000,,,
10,NormAnonDiff_MeanCos,MIA_Ref,0.4333,0.2440,9,entropy,0.9785,0.9794,0.7231,,,
10,NormAnonDiff_MeanCos,MIA_Hidden,-0.0500,0.8984,9,entropy,0.9958,0.9847,0.9907,,,
10,NormAnonDiff_MeanCos,SPV_MIA,-0.8000,0.0096,9,entropy,0.0379,0.0318,0.1182,*,*,
11,Centroid_Norm,Steering,0.0357,0.8994,15,auss,0.9873,0.9577,0.9907,,,
11,Centroid_Norm,ICL,0.7025,0.0035,15,auss,0.0137,0.0083,0.0628,*,**,
11,Centroid_Norm,GCG,-0.0196,0.9447,15,auss,0.9762,0.9705,0.9916,,,
11,Centroid_Norm,MIA,0.0107,0.9698,15,auss,0.9988,1.0000,0.9928,,,
11,Centroid_Norm,MIA_MinK,-0.0545,0.8734,11,auss,0.9822,0.9762,0.9897,,,
11,Centroid_Norm,MIA_Ref,0.3273,0.3259,11,auss,0.9785,0.9390,0.8163,,,
11,Centroid_Norm,MIA_Hidden,0.1091,0.7495,11,auss,0.9958,0.9939,0.9786,,,
11,Centroid_Norm,SPV_MIA,-0.7032,0.0158,11,auss,0.0470,0.0604,0.1464,*,,
11,Global_Coherence,Steering,0.0357,0.8994,15,auss,0.9873,0.9577,0.9907,,,
11,Global_Coherence,ICL,0.7025,0.0035,15,auss,0.0137,0.0083,0.0628,*,**,
11,Global_Coherence,GCG,-0.0196,0.9447,15,auss,0.9762,0.9705,0.9916,,,
11,Global_Coherence,MIA,0.0107,0.9698,15,auss,0.9988,1.0000,0.9928,,,
11,Global_Coherence,MIA_MinK,-0.0545,0.8734,11,auss,0.9822,0.9762,0.9897,,,
11,Global_Coherence,MIA_Ref,0.3273,0.3259,11,auss,0.9785,0.9390,0.8163,,,
11,Global_Coherence,MIA_Hidden,0.1091,0.7495,11,auss,0.9958,0.9939,0.9786,,,
11,Global_Coherence,SPV_MIA,-0.7032,0.0158,11,auss,0.0470,0.0604,0.1464,*,,
11,Batch_SecondMoment_TopEig,Steering,0.0643,0.8199,15,auss,0.9873,0.9577,0.9786,,,
11,Batch_SecondMoment_TopEig,ICL,0.6915,0.0043,15,auss,0.0167,0.0101,0.0735,*,*,
11,Batch_SecondMoment_TopEig,GCG,-0.0294,0.9172,15,auss,0.9762,0.9705,0.9907,,,
11,Batch_SecondMoment_TopEig,MIA,-0.0357,0.8994,15,auss,0.9988,1.0000,0.9907,,,
11,Batch_SecondMoment_TopEig,MIA_MinK,-0.0545,0.8734,11,auss,0.9822,0.9762,0.9897,,,
11,Batch_SecondMoment_TopEig,MIA_Ref,0.3273,0.3259,11,auss,0.9785,0.9390,0.8163,,,
11,Batch_SecondMoment_TopEig,MIA_Hidden,0.1091,0.7495,11,auss,0.9958,0.9939,0.9786,,,
11,Batch_SecondMoment_TopEig,SPV_MIA,-0.7032,0.0158,11,auss,0.0470,0.0604,0.1464,*,,
11,AUSS_L2,Steering,-0.0357,0.8994,15,auss,0.9873,0.9577,0.9907,,,
11,AUSS_L2,ICL,-0.7025,0.0035,15,auss,0.0137,0.0083,0.0628,*,**,
11,AUSS_L2,GCG,0.0196,0.9447,15,auss,0.9762,0.9705,0.9916,,,
11,AUSS_L2,MIA,-0.0107,0.9698,15,auss,0.9988,1.0000,0.9928,,,
11,AUSS_L2,MIA_MinK,0.0545,0.8734,11,auss,0.9822,0.9762,0.9897,,,
11,AUSS_L2,MIA_Ref,-0.3273,0.3259,11,auss,0.9785,0.9390,0.8163,,,
11,AUSS_L2,MIA_Hidden,-0.1091,0.7495,11,auss,0.9958,0.9939,0.9786,,,
11,AUSS_L2,SPV_MIA,0.7032,0.0158,11,auss,0.0470,0.0604,0.1464,*,,
11,AUSS_Cos2,Steering,-0.0536,0.8496,15,auss,0.9873,0.9577,0.9897,,,
11,AUSS_Cos2,ICL,-0.6731,0.0060,15,auss,0.0210,0.0128,0.0868,*,*,
11,AUSS_Cos2,GCG,0.0529,0.8514,15,auss,0.9606,0.9546,0.9897,,,
11,AUSS_Cos2,MIA,0.0393,0.8894,15,auss,0.9988,1.0000,0.9907,,,
11,AUSS_Cos2,MIA_MinK,0.0545,0.8734,11,auss,0.9822,0.9762,0.9897,,,
11,AUSS_Cos2,MIA_Ref,-0.3273,0.3259,11,auss,0.9785,0.9390,0.8163,,,
11,AUSS_Cos2,MIA_Hidden,-0.1091,0.7495,11,auss,0.9958,0.9939,0.9786,,,
11,AUSS_Cos2,SPV_MIA,0.7032,0.0158,11,auss,0.0470,0.0604,0.1464,*,,
11,AUSS_Jac,Steering,-0.1393,0.6205,15,auss,0.9873,0.9577,0.9786,,,
11,AUSS_Jac,ICL,-0.1582,0.5735,15,auss,0.6348,0.5845,0.9586,,,
11,AUSS_Jac,GCG,0.0431,0.8787,15,auss,0.9633,0.9626,0.9907,,,
11,AUSS_Jac,MIA,-0.0464,0.8695,15,auss,0.9988,1.0000,0.9897,,,
11,AUSS_Jac,MIA_MinK,-0.2636,0.4334,11,auss,0.9822,0.9762,0.8883,,,
11,AUSS_Jac,MIA_Ref,0.2727,0.4171,11,auss,0.9785,0.9390,0.8797,,,
11,AUSS_Jac,MIA_Hidden,0.2818,0.4011,11,auss,0.9958,0.9939,0.8709,,,
11,AUSS_Jac,SPV_MIA,-0.0457,0.8939,11,auss,0.9042,0.9147,0.9907,,,
11,Batch_Cov_Trace,Steering,-0.0357,0.8994,15,auss,0.9873,0.9577,0.9907,,,
11,Batch_Cov_Trace,ICL,-0.7025,0.0035,15,auss,0.0137,0.0083,0.0628,*,**,
11,Batch_Cov_Trace,GCG,0.0196,0.9447,15,auss,0.9762,0.9705,0.9916,,,
11,Batch_Cov_Trace,MIA,-0.0107,0.9698,15,auss,0.9988,1.0000,0.9928,,,
11,Batch_Cov_Trace,MIA_MinK,0.0545,0.8734,11,auss,0.9822,0.9762,0.9897,,,
11,Batch_Cov_Trace,MIA_Ref,-0.3273,0.3259,11,auss,0.9785,0.9390,0.8163,,,
11,Batch_Cov_Trace,MIA_Hidden,-0.1091,0.7495,11,auss,0.9958,0.9939,0.9786,,,
11,Batch_Cov_Trace,SPV_MIA,0.7032,0.0158,11,auss,0.0470,0.0604,0.1464,*,,
11,Batch_Cov_TopEig,Steering,0.0607,0.8298,15,auss,0.9873,0.9577,0.9786,,,
