pair,label_a,label_b,metric,mean_a,mean_b,gap,ci_lo,ci_hi,d,p_raw,n,q_adj,sig
hp_retain_vs_tofu,HP-retain,TOFU,Batch_SecondMoment_TopEig,0.8582856147377579,0.34658428916224726,0.5117013255755107,0.46378334065278376,0.563142137919311,6.203189101129274,0.00390625,9,0.00625,**
hp_retain_vs_tofu,HP-retain,TOFU,AUSS_L2,0.3622103929519653,1.2753382281020835,0.9131278351501183,0.7403801821310212,1.0711070234852806,-3.3467192292658017,0.00390625,9,0.00625,**
hp_retain_vs_tofu,HP-retain,TOFU,AUSS_Cos2,0.264833541681852,0.6865260347172066,0.4216924930353545,0.26013605186232813,0.579871989894848,-1.5877074019774464,0.00390625,9,0.00625,**
hp_retain_vs_tofu,HP-retain,TOFU,AUSS_Jac,0.4855937035115945,0.8043155931749681,0.31872188966337384,0.2427689643716621,0.42107465675266703,-2.0896753383810127,0.00390625,9,0.00625,**
hp_retain_vs_tofu,HP-retain,TOFU,Batch_Cov_Trace,0.16978614170242237,0.5739022338831866,0.4041160921807642,0.3240931625305502,0.47658147142027263,-3.2189221127703407,0.00390625,9,0.00625,**
hp_retain_vs_tofu,HP-retain,TOFU,Batch_Cov_TopEig,0.04201472212594968,0.2724449038505554,0.23043018172460572,0.16439433814440332,0.3057115570124652,-1.995925869418998,0.00390625,9,0.00625,**
sw_vs_tofu,SW,TOFU,Centroid_Norm,0.8667524346598872,0.6479222984225662,0.21883013623732112,0.13623250438659282,0.29259791630837645,1.6909615415735288,0.00390625,9,0.00625,**
sw_vs_tofu,SW,TOFU,Global_Coherence,0.8667524368674667,0.6479223867257438,0.21883005014172305,0.1362323472621264,0.2925978192852603,1.6909605089489794,0.00390625,9,0.00625,**
sw_vs_tofu,SW,TOFU,Batch_SecondMoment_TopEig,0.8717307911978828,0.34658428916224726,0.5251465020356355,0.45604099956927474,0.5944365102659771,4.615638038152906,0.00390625,9,0.00625,**
sw_vs_tofu,SW,TOFU,AUSS_L2,0.5934065468954267,1.2753382281020835,0.7193252334923105,0.4583619612001779,0.9532202081547844,-1.433678930407079,0.01171875,9,0.016544117647058824,*
sw_vs_tofu,SW,TOFU,AUSS_Cos2,0.27243378461786993,0.6865260347172066,0.4140922500993367,0.29060676445563643,0.5404955771906922,-1.9998101458210378,0.00390625,9,0.00625,**
sw_vs_tofu,SW,TOFU,AUSS_Jac,0.5009335159482271,0.8043155931749681,0.3033820772267412,0.2461323770501915,0.37520501237073745,-2.821693479206961,0.00390625,9,0.00625,**
sw_vs_tofu,SW,TOFU,Batch_Cov_Trace,0.23736264631669549,0.5739022338831866,0.33695285526725155,0.21144655676627602,0.44681346740345135,-1.7237042371436542,0.0078125,9,0.01171875,*
sw_vs_tofu,SW,TOFU,Batch_Cov_TopEig,0.09404801735999403,0.2724449038505554,0.17839688649056137,0.10186799036304435,0.26170669048852097,-1.3555723686077905,0.00390625,9,0.00625,**
