model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_MIA_MinK,attack_MIA_Ref,attack_RepSimilarity,attack_SPV_MIA,attack_Steering_ASR,attack_Steering_retain_wf,mia_forget_nll,mia_retain_nll,has_attacks,verified
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,GradAscent,harry_potter,0.0000,,,0.0000,0.8716,0.8716,0.7677,0.5341,0.4389,0.6675,0.2404,0.1120,True,0.1202,0.9611,8.4633,1.6088,0.6446,0.3901,0.5000,0.0000,0.0000,0.7000,,,,,0.0000,0.0000,108.0292,111.6952,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,GradAscent,star_wars,0.0000,,,0.0000,0.8010,0.8010,0.6513,0.7966,0.5910,0.8250,0.3585,0.1882,True,0.0022,0.9992,154.7198,1.1870,1.6299,0.2283,0.5000,0.0000,0.0000,0.1024,,,,,0.0000,0.0000,188.9616,176.9616,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,GradAscent,william_shakespeare,0.0000,,,0.0000,0.8139,0.8139,0.7531,0.7503,0.4360,0.6789,0.3376,0.2694,True,0.0020,0.9993,154.2305,0.7729,1.6987,0.3823,0.5000,0.0000,0.0000,0.2496,,,,,0.0000,0.0000,179.3065,176.7615,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,DPO,harry_potter,0.0000,,,0.0000,0.8673,0.8673,0.7557,0.5508,0.4659,0.5521,0.2478,0.0745,True,0.4992,0.8217,5.5108,2.1239,0.9636,0.3446,0.7200,0.0400,0.4000,1.0000,,,,,0.0762,0.0000,9.1998,50.6775,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,DPO,star_wars,0.0170,,,0.0000,0.8423,0.8423,0.7186,0.6457,0.5189,0.7815,0.2905,0.1161,True,0.6194,0.7957,16.5226,1.4882,3.5677,0.2380,0.6200,0.0000,0.8000,0.9976,,,,,0.0166,0.0000,42.7374,99.9165,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,DPO,william_shakespeare,0.0000,,,0.0000,0.9234,0.9234,0.8534,0.3276,0.2985,0.5393,0.1474,0.0338,True,0.5530,0.8167,5.9544,1.5217,1.1758,0.4571,0.7000,0.0000,0.0000,1.0000,,,,,0.0368,0.0000,16.1263,70.0749,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO,harry_potter,0.1118,,,0.6500,0.8633,0.8633,0.7467,0.5660,0.4821,0.4483,0.2547,0.0574,True,1.0440,0.6832,7.7984,2.3346,1.6202,0.3088,0.9304,0.0000,1.0000,0.8168,,,,,0.4928,0.0894,1.7219,3.6148,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO,star_wars,0.1667,,,0.5500,0.8713,0.8713,0.7598,0.5354,0.4616,0.5467,0.2409,0.0459,True,1.1472,0.6574,9.4244,2.2412,1.5928,0.2708,0.8384,-0.0400,1.0000,0.9000,,,,,0.4035,0.1257,1.5707,3.5152,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO,william_shakespeare,0.0961,,,0.5000,0.9233,0.9233,0.8538,0.3277,0.2976,0.4080,0.1474,0.0392,True,0.6602,0.7827,5.6969,1.5010,0.9860,0.4794,0.7792,0.0800,1.0000,0.8344,,,,,0.3558,0.1194,2.1063,3.7904,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO+KL,harry_potter,0.1784,,,0.7000,0.8669,0.8669,0.7528,0.5522,0.4723,0.4158,0.2485,0.0567,True,0.9726,0.6999,7.4045,2.2437,1.6492,0.3137,0.9448,-0.1200,1.0000,0.3888,,,,,0.4884,0.0723,1.7006,0.5716,True,False
