layer,metric,attack,rho,pval,n,family
0,NormAnonDiff_S_alpha_2,MIA,0.2517482517482518,0.42991878503288405,12,entropy
0,NormAnonDiff_MeanCos,Steering,-0.1958041958041958,0.5419358857313175,12,entropy
0,NormAnonDiff_MeanCos,ICL,0.5829752480681661,0.04665076405445745,12,entropy
0,NormAnonDiff_MeanCos,GCG,0.46385012243953183,0.1287777412760693,12,entropy
0,NormAnonDiff_MeanCos,MIA,-0.5104895104895105,0.08991373630263913,12,entropy
1,Centroid_Norm,Steering,-0.18181818181818185,0.5717012385276553,12,auss
1,Centroid_Norm,ICL,0.6801377894128605,0.014941090284850573,12,auss
1,Centroid_Norm,GCG,0.6405549309879249,0.024826803450100885,12,auss
1,Centroid_Norm,MIA,-0.18881118881118883,0.5567370561768314,12,auss
1,Global_Coherence,Steering,-0.2377622377622378,0.4568008526399232,12,auss
1,Global_Coherence,ICL,0.701729465267237,0.010972115332928304,12,auss
1,Global_Coherence,GCG,0.6405549309879249,0.024826803450100885,12,auss
1,Global_Coherence,MIA,-0.21678321678321683,0.49855598552418856,12,auss
1,Batch_SecondMoment_TopEig,Steering,-0.18181818181818185,0.5717012385276553,12,auss
1,Batch_SecondMoment_TopEig,ICL,0.6801377894128605,0.014941090284850573,12,auss
1,Batch_SecondMoment_TopEig,GCG,0.6405549309879249,0.024826803450100885,12,auss
1,Batch_SecondMoment_TopEig,MIA,-0.18881118881118883,0.5567370561768314,12,auss
1,AUSS_L2,Steering,0.2377622377622378,0.4568008526399232,12,auss
1,AUSS_L2,ICL,-0.701729465267237,0.010972115332928304,12,auss
1,AUSS_L2,GCG,-0.6405549309879249,0.024826803450100885,12,auss
1,AUSS_L2,MIA,0.21678321678321683,0.49855598552418856,12,auss
1,AUSS_Cos2,Steering,0.18181818181818185,0.5717012385276553,12,auss
1,AUSS_Cos2,ICL,-0.6801377894128605,0.014941090284850573,12,auss
1,AUSS_Cos2,GCG,-0.6405549309879249,0.024826803450100885,12,auss
1,AUSS_Cos2,MIA,0.18881118881118883,0.5567370561768314,12,auss
1,AUSS_Jac,Steering,-0.3076923076923077,0.3305892594121097,12,auss
1,AUSS_Jac,ICL,0.5433905090018093,0.06785677737775374,12,auss
1,AUSS_Jac,GCG,0.03681350178091523,0.9095677779532954,12,auss
1,AUSS_Jac,MIA,0.3636363636363637,0.2452650007307772,12,auss
1,Batch_Cov_Trace,Steering,0.2377622377622378,0.4568008526399232,12,auss
1,Batch_Cov_Trace,ICL,-0.701729465267237,0.010972115332928304,12,auss
