model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_Steering_ASR,attack_Steering_retain_wf,has_attacks,verified
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,RMU,harry_potter,0.0648,,,0.7500,0.8550,0.8550,0.7374,0.5978,0.4945,0.5720,0.2690,0.0857,True,0.5265,0.8165,5.7979,2.2535,1.0008,0.3288,0.8848,-0.0400,0.0000,0.9080,0.4542,0.1108,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,RMU,star_wars,0.1145,,,0.5500,0.8713,0.8713,0.7608,0.5353,0.4588,0.5715,0.2409,0.0578,True,0.6158,0.7968,15.5159,2.1519,1.9991,0.2818,0.8400,0.0000,0.0000,0.9880,0.3914,0.1196,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,RMU,william_shakespeare,0.0234,,,0.0000,0.9366,0.9366,0.8782,0.2728,0.2508,0.7084,0.1228,0.0474,True,0.1732,0.9393,22.7359,0.9867,6.1210,0.4680,0.1024,0.0000,0.0000,0.0392,0.0378,0.1276,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,WHP,harry_potter,0.1743,,,0.7000,0.8588,0.8588,0.7394,0.5833,0.4933,0.4825,0.2625,0.0635,True,0.9937,0.6954,7.4942,2.3174,1.5941,0.3075,0.9312,-0.0800,0.0000,0.9984,0.4808,0.0693,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,WHP,star_wars,0.2080,,,0.5000,0.8598,0.8598,0.7399,0.5793,0.4939,0.6267,0.2607,0.0470,True,1.0355,0.6891,9.5407,2.4709,1.6438,0.2564,0.8512,-0.1200,0.0000,1.0000,0.3789,0.1032,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,WHP,william_shakespeare,0.1034,,,0.5000,0.9262,0.9262,0.8592,0.3158,0.2876,0.5046,0.1421,0.0404,True,0.7813,0.7582,10.2839,1.4887,2.4604,0.4818,0.8552,0.0000,0.0000,0.9824,0.3314,0.0727,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Base,harry_potter,0.1065,,,0.8000,0.8716,0.8716,0.7690,0.5340,0.4387,0.5373,0.2403,0.1138,True,0.1116,0.9514,201.4067,1.6658,21.3758,0.3242,0.4328,0.0400,0.0000,0.9816,0.3730,,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Base,star_wars,0.0983,,,0.4000,0.8657,0.8657,0.7513,0.5566,0.4730,0.6319,0.2505,0.0734,True,0.2765,0.9012,316.5446,2.2121,32.5642,0.2569,0.4816,0.0800,0.0000,0.9816,0.2606,,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Base,william_shakespeare,0.0803,,,0.7000,0.9068,0.9068,0.8234,0.3949,0.3516,0.4244,0.1777,0.0585,True,0.1696,0.9357,233.9242,1.8914,30.4391,0.3804,0.4952,0.0000,0.0000,0.9384,0.3728,,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,GradAscent,harry_potter,0.0000,,,0.0000,0.9360,0.9360,0.8773,0.2753,0.2525,0.4633,0.1239,0.0414,True,0.0047,0.9983,244.3463,1.1179,10.8491,0.5411,0.5000,0.0000,0.0000,0.8320,0.0000,0.0000,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,GradAscent,star_wars,0.0000,,,0.0000,0.9013,0.9013,0.8133,0.4170,0.3697,0.6544,0.1877,0.0532,True,0.0109,0.9962,482.1002,1.7607,11.9734,0.3529,0.5000,0.0000,0.0000,1.0000,0.0000,0.0000,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,GradAscent,william_shakespeare,0.0000,,,0.0000,0.9339,0.9339,0.8754,0.2839,0.2548,0.5167,0.1277,0.0624,True,0.0045,0.9984,246.5710,1.1934,9.4564,0.5470,0.5000,0.0000,0.2000,0.9136,0.0000,0.0000,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,DPO,harry_potter,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,DPO,star_wars,0.1165,,,0.4500,0.8342,0.8342,0.7005,0.6757,0.5477,0.7553,0.3041,0.1046,True,0.3317,0.8881,288.6084,2.4269,38.4445,0.2466,0.6608,0.0000,1.0000,1.0000,0.3414,0.1551,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,DPO,william_shakespeare,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
